location_id,segment_datetime,segment,time_segment,segment_start_hour,orders_count,prediction,error,abs_error,peak_threshold
1,2026-04-03 11:00:00+03:00,medium,lunch,11,15.0,12.054657634206336,-2.945342365793664,2.945342365793664,14.0
123,2026-02-25 15:00:00+03:00,medium,afternoon,15,18.0,15.05511586155609,-2.9448841384439106,2.9448841384439106,14.0
434,2026-03-18 11:00:00+03:00,medium,lunch,11,17.0,19.939841642966883,2.9398416429668828,2.9398416429668828,14.0
12,2026-01-30 15:00:00+03:00,medium,afternoon,15,14.0,11.06190170438068,-2.9380982956193193,2.9380982956193193,14.0
17,2026-03-07 11:00:00+03:00,medium,lunch,11,15.0,17.936265007420182,2.9362650074201824,2.9362650074201824,14.0
434,2026-02-16 11:00:00+03:00,medium,lunch,11,18.0,20.930786010438215,2.930786010438215,2.930786010438215,14.0
98,2026-03-24 15:00:00+03:00,low,afternoon,15,3.0,0.07895297370174514,-2.921047026298255,2.921047026298255,1.0
115,2026-03-10 11:00:00+03:00,medium,lunch,11,20.0,22.920938956541942,2.920938956541942,2.920938956541942,14.0
10,2026-03-24 11:00:00+03:00,medium,lunch,11,20.0,17.090131424095965,-2.909868575904035,2.909868575904035,14.0
25,2026-03-03 11:00:00+03:00,medium,lunch,11,17.0,19.903831474175306,2.9038314741753055,2.9038314741753055,14.0
439,2026-02-14 18:00:00+03:00,low,dinner,18,3.0,0.10800599811490219,-2.891994001885098,2.891994001885098,1.0
478,2026-04-04 11:00:00+03:00,low,lunch,11,1.0,3.8892952301749206,2.8892952301749206,2.8892952301749206,1.0
8,2026-02-02 11:00:00+03:00,high,lunch,11,43.0,40.11096400708604,-2.8890359929139606,2.8890359929139606,30.0
11,2026-03-15 00:00:00+03:00,medium,deep_night,0,26.0,28.88839498586799,2.88839498586799,2.88839498586799,14.0
123,2026-04-06 11:00:00+03:00,medium,lunch,11,24.0,26.88342966910349,2.8834296691034886,2.8834296691034886,14.0
115,2026-02-12 15:00:00+03:00,medium,afternoon,15,14.0,11.120228649769313,-2.879771350230687,2.879771350230687,14.0
179,2026-03-08 15:00:00+03:00,low,afternoon,15,3.0,0.12939763412913408,-2.870602365870866,2.870602365870866,1.0
478,2026-02-13 21:00:00+03:00,low,late_evening,21,1.0,3.870229063855189,2.870229063855189,2.870229063855189,1.0
478,2026-02-28 18:00:00+03:00,low,dinner,18,3.0,5.8638487279715,2.8638487279715,2.8638487279715,1.0
41,2026-03-06 09:00:00+03:00,low,morning,9,3.0,0.14454004005290066,-2.8554599599470993,2.8554599599470993,1.0
8,2026-02-21 11:00:00+03:00,high,lunch,11,33.0,35.851816254071856,2.8518162540718563,2.8518162540718563,30.0
480,2026-03-20 18:00:00+03:00,low,dinner,18,1.0,3.851415207941589,2.851415207941589,2.851415207941589,1.0
115,2026-03-28 11:00:00+03:00,medium,lunch,11,17.0,19.84058712674365,2.8405871267436495,2.8405871267436495,14.0
478,2026-02-14 21:00:00+03:00,low,late_evening,21,1.0,3.8328898195350773,2.8328898195350773,2.8328898195350773,1.0
115,2026-01-27 11:00:00+03:00,medium,lunch,11,24.0,21.16918275884885,-2.8308172411511485,2.8308172411511485,14.0
434,2026-02-02 11:00:00+03:00,medium,lunch,11,17.0,19.826706015569904,2.826706015569904,2.826706015569904,14.0
480,2026-03-28 11:00:00+03:00,low,lunch,11,1.0,3.822173875024263,2.822173875024263,2.822173875024263,1.0
12,2026-02-14 09:00:00+03:00,medium,morning,9,15.0,12.178870039416992,-2.821129960583008,2.821129960583008,14.0
101,2026-02-17 11:00:00+03:00,medium,lunch,11,20.0,17.183194823583115,-2.816805176416885,2.816805176416885,14.0
123,2026-03-26 09:00:00+03:00,medium,morning,9,14.0,16.812321532328916,2.812321532328916,2.812321532328916,14.0
123,2026-03-19 11:00:00+03:00,medium,lunch,11,29.0,31.80941477090494,2.80941477090494,2.80941477090494,14.0
434,2026-01-29 11:00:00+03:00,medium,lunch,11,14.0,16.803662146466387,2.8036621464663867,2.8036621464663867,14.0
478,2026-03-21 11:00:00+03:00,low,lunch,11,2.0,4.802144157852867,2.802144157852867,2.802144157852867,1.0
37,2026-02-16 11:00:00+03:00,medium,lunch,11,14.0,11.197856273655116,-2.802143726344884,2.802143726344884,14.0
123,2026-04-02 11:00:00+03:00,medium,lunch,11,30.0,27.198346084329803,-2.8016539156701974,2.8016539156701974,14.0
25,2026-02-14 11:00:00+03:00,medium,lunch,11,19.0,16.203395466699952,-2.796604533300048,2.796604533300048,14.0
26,2026-02-14 11:00:00+03:00,medium,lunch,11,19.0,16.20607521189045,-2.7939247881095497,2.7939247881095497,14.0
434,2026-03-10 11:00:00+03:00,medium,lunch,11,15.0,17.793397623132492,2.793397623132492,2.793397623132492,14.0
10,2026-04-01 11:00:00+03:00,medium,lunch,11,20.0,17.209708692039232,-2.790291307960768,2.790291307960768,14.0
478,2026-02-25 15:00:00+03:00,low,afternoon,15,4.0,1.2139592659247382,-2.7860407340752618,2.7860407340752618,1.0
340,2026-03-15 15:00:00+03:00,low,afternoon,15,3.0,0.21461833828222332,-2.7853816617177767,2.7853816617177767,1.0
