weekday,hour,rows,mae,rmse,bias,error_std,abs_error_p95,abs_error_p99,mean_orders,mean_pred
2,0,80.0,4.051826829746491,6.352218069143025,2.6598680324329043,5.804910749364693,13.133961608346317,20.05922103522807,4.25,6.909868032432904
2,6,151.0,1.6444888283920238,2.400891771766413,0.30516978913719844,2.3893430863308813,4.6936073973125625,8.078955456709082,4.509933774834437,4.815103563971635
2,8,665.0,0.9333594286743395,1.5203178161118394,0.24749632469960453,1.5011663978002843,3.263272117975151,5.168799958389849,1.738345864661654,1.9858421893612588
2,9,1021.0,1.2649639901750926,2.139061792097823,0.5644259377854614,2.0642631249721726,4.880285309902684,7.485176393675153,3.1047992164544564,3.6692251542399177
2,11,1327.0,1.752743809961075,3.106956305219626,0.8412813242966097,2.9920176114602217,7.20313967901204,11.6445568209097,5.834966088922381,6.6762474132189915
2,15,1327.0,1.2154291313800132,2.09241312693355,0.33083188162608296,2.0668725705836097,4.833468142653584,7.452737718125957,3.244159758854559,3.574991640480642
2,18,1303.0,1.1601752724967158,2.1278049418968914,0.3078706157696763,2.106222718426967,4.926821836689579,8.479674006950688,3.193399846508058,3.5012704622777346
2,21,1059.0,0.7911594278251756,1.472683641778578,0.23794947020453153,1.454019788420968,3.24149218577788,5.423327279804295,1.4834749763928234,1.721424446597355
3,0,80.0,2.9766418010213918,4.287973641687725,1.4650628308164735,4.055352313099409,9.420832185324468,11.367924901316862,4.9,6.365062830816473
3,6,151.0,1.5157338455168172,2.2426935752852017,0.362236509886061,2.220611532458561,4.6816353398915975,6.842965217737875,4.549668874172186,4.9119053840582465
3,8,663.0,0.9518910133829314,1.51397750259379,0.2612506662408828,1.4923924741854075,3.24646965353777,5.254406830007012,1.7254901960784315,1.986740862319314
3,9,992.0,1.295096343734715,2.161852793470225,0.556690671766837,2.090001514256951,4.9909995478014055,7.42811716857046,3.1955645161290325,3.752255187895869
3,11,1333.0,1.7410330885994754,3.1883009710633567,0.5589248048916863,3.140105601920962,7.622974456073305,11.8980215092325,6.143285821455364,6.702210626347051
3,15,1331.0,1.2469988871527442,2.186360367904771,0.14797355279502858,2.182167073521015,5.200685960520556,7.940050757324193,3.473328324567994,3.6213018773630226
3,18,1319.0,1.146399455086699,2.0424662391906248,0.19945686045557676,2.0334749236553074,4.838537618521877,7.6190949949176,3.329795299469295,3.529252159924872
3,21,1092.0,0.7228596859472118,1.2922829444358945,0.23077652618798547,1.2720924845452533,2.9360550054203958,5.076886545185226,1.4954212454212454,1.726197771609231
4,0,90.0,2.3706661790367574,3.7163622128634204,1.7370036894664167,3.3038536661253524,9.088248975623046,10.916003917657036,3.988888888888889,5.725892578355306
