location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
12,2026-02-11 02:00:00+03:00,medium,early_morning,11.0,7.611309595086576,-3.388690404913424,3.388690404913424,11.0
480,2026-03-04 04:00:00+03:00,low,lunch,1.0,4.388287725364776,3.3882877253647763,3.3882877253647763,0.0
480,2026-03-18 04:00:00+03:00,low,lunch,1.0,4.388287725364776,3.3882877253647763,3.3882877253647763,0.0
7,2026-02-10 02:00:00+03:00,high,early_morning,26.0,22.613357654233912,-3.386642345766088,3.386642345766088,24.0
478,2026-02-09 06:00:00+03:00,low,dinner,0.0,3.384090774548019,3.384090774548019,3.384090774548019,0.0
101,2026-02-17 05:00:00+03:00,medium,afternoon,16.0,12.618848063008992,-3.3811519369910084,3.3811519369910084,11.0
443,2026-03-03 04:00:00+03:00,low,lunch,13.0,9.625728281206857,-3.3742717187931426,3.3742717187931426,0.0
9,2026-02-13 07:00:00+03:00,medium,late_evening,12.0,8.628806915397721,-3.371193084602279,3.371193084602279,11.0
7,2026-04-06 02:00:00+03:00,high,early_morning,27.0,23.629213824781985,-3.370786175218015,3.370786175218015,24.0
25,2026-02-24 05:00:00+03:00,medium,afternoon,16.0,12.631786703912779,-3.3682132960872213,3.3682132960872213,11.0
37,2026-02-05 05:00:00+03:00,medium,afternoon,11.0,7.648574623706326,-3.3514253762936743,3.3514253762936743,11.0
480,2026-03-28 03:00:00+03:00,low,morning,0.0,3.3489581228109526,3.3489581228109526,3.3489581228109526,0.0
478,2026-03-28 03:00:00+03:00,low,morning,0.0,3.3489581228109526,3.3489581228109526,3.3489581228109526,0.0
8,2026-02-05 05:00:00+03:00,high,afternoon,24.0,27.339333858893937,3.339333858893937,3.339333858893937,24.0
123,2026-04-04 05:00:00+03:00,medium,afternoon,11.0,14.332358033057284,3.332358033057284,3.332358033057284,11.0
478,2026-02-28 06:00:00+03:00,low,dinner,0.0,3.332195771031133,3.332195771031133,3.332195771031133,0.0
480,2026-03-27 06:00:00+03:00,low,dinner,0.0,3.331765876271474,3.331765876271474,3.331765876271474,0.0
7,2026-04-10 02:00:00+03:00,high,early_morning,28.0,24.668668969628932,-3.331331030371068,3.331331030371068,24.0
434,2026-03-04 05:00:00+03:00,medium,afternoon,18.0,14.669033613371065,-3.330966386628935,3.330966386628935,11.0
11,2026-02-17 02:00:00+03:00,medium,early_morning,14.0,17.33087147734129,3.33087147734129,3.33087147734129,11.0
12,2026-03-30 05:00:00+03:00,medium,afternoon,14.0,17.32830059999403,3.32830059999403,3.32830059999403,11.0
123,2026-02-09 04:00:00+03:00,medium,lunch,19.0,15.676168426490092,-3.323831573509908,3.323831573509908,11.0
18,2026-03-30 05:00:00+03:00,medium,afternoon,13.0,9.686262124839194,-3.3137378751608058,3.3137378751608058,11.0
14,2026-03-08 04:00:00+03:00,medium,lunch,16.0,12.69196390994276,-3.3080360900572394,3.3080360900572394,11.0
480,2026-04-04 04:00:00+03:00,low,lunch,0.0,3.3001331291189993,3.3001331291189993,3.3001331291189993,0.0
115,2026-03-05 05:00:00+03:00,medium,afternoon,19.0,15.703292800428525,-3.2967071995714754,3.2967071995714754,11.0
11,2026-03-19 02:00:00+03:00,medium,early_morning,14.0,17.293282305265798,3.293282305265798,3.293282305265798,11.0
434,2026-02-07 07:00:00+03:00,medium,late_evening,12.0,8.706845009613776,-3.293154990386224,3.293154990386224,11.0
115,2026-02-19 05:00:00+03:00,medium,afternoon,12.0,15.288903861081634,3.288903861081634,3.288903861081634,11.0
12,2026-02-14 06:00:00+03:00,medium,dinner,11.0,7.714435567648571,-3.2855644323514293,3.2855644323514293,11.0
480,2026-03-11 07:00:00+03:00,low,late_evening,0.0,3.2846276257046894,3.2846276257046894,3.2846276257046894,0.0
115,2026-03-11 05:00:00+03:00,medium,afternoon,13.0,16.282123654754297,3.2821236547542973,3.2821236547542973,11.0
67,2026-02-20 03:00:00+03:00,low,morning,0.0,3.267561808645038,3.267561808645038,3.267561808645038,0.0
67,2026-03-07 03:00:00+03:00,low,morning,0.0,3.2621585365158996,3.2621585365158996,3.2621585365158996,0.0
12,2026-03-07 07:00:00+03:00,medium,late_evening,13.0,9.738056076715775,-3.2619439232842247,3.2619439232842247,11.0
14,2026-04-10 04:00:00+03:00,medium,lunch,13.0,9.73854383546957,-3.261456164530429,3.261456164530429,11.0
7,2026-02-18 05:00:00+03:00,high,afternoon,24.0,20.738932166443107,-3.2610678335568934,3.2610678335568934,24.0
