location_id,segment_datetime,segment,time_segment,orders_count,prediction,error,abs_error,peak_threshold
16,2026-04-08 05:00:00+03:00,medium,afternoon,10.0,5.856260777732591,-4.143739222267409,4.143739222267409,10.0
26,2026-02-10 03:00:00+03:00,medium,morning,11.0,6.857111601545057,-4.142888398454943,4.142888398454943,10.0
25,2026-02-13 04:00:00+03:00,medium,lunch,23.0,18.85749732680613,-4.142502673193871,4.142502673193871,10.0
434,2026-02-26 04:00:00+03:00,medium,lunch,15.0,19.141994150095385,4.141994150095385,4.141994150095385,10.0
38,2026-04-07 07:00:00+03:00,medium,late_evening,10.0,5.858161515628387,-4.141838484371613,4.141838484371613,10.0
298,2026-03-13 04:00:00+03:00,medium,lunch,11.0,6.867477351770914,-4.132522648229086,4.132522648229086,10.0
142,2026-02-09 04:00:00+03:00,medium,lunch,16.0,11.86853103726817,-4.13146896273183,4.13146896273183,10.0
434,2026-04-06 03:00:00+03:00,medium,morning,11.0,6.874620003411,-4.125379996589,4.125379996589,10.0
12,2026-04-10 04:00:00+03:00,high,lunch,27.0,22.874826302266573,-4.125173697733427,4.125173697733427,25.0
4,2026-03-18 04:00:00+03:00,high,lunch,33.0,28.89452253604761,-4.10547746395239,4.10547746395239,25.0
16,2026-04-03 04:00:00+03:00,medium,lunch,10.0,5.896044219990195,-4.103955780009805,4.103955780009805,10.0
26,2026-03-16 04:00:00+03:00,medium,lunch,12.0,16.09215950380474,4.092159503804741,4.092159503804741,10.0
16,2026-03-22 04:00:00+03:00,medium,lunch,11.0,6.910099470285143,-4.089900529714857,4.089900529714857,10.0
434,2026-04-05 04:00:00+03:00,medium,lunch,21.0,16.911860425714288,-4.088139574285712,4.088139574285712,10.0
10,2026-03-28 04:00:00+03:00,medium,lunch,11.0,15.070633931283487,4.070633931283487,4.070633931283487,10.0
11,2026-02-16 01:00:00+03:00,medium,opening,11.0,15.069953557952717,4.069953557952717,4.069953557952717,10.0
434,2026-03-22 06:00:00+03:00,medium,dinner,17.0,12.946845718574735,-4.053154281425265,4.053154281425265,10.0
25,2026-04-10 05:00:00+03:00,medium,afternoon,14.0,9.954240310358827,-4.045759689641173,4.045759689641173,10.0
18,2026-02-26 06:00:00+03:00,medium,dinner,12.0,7.958501335896862,-4.041498664103138,4.041498664103138,10.0
25,2026-02-16 04:00:00+03:00,medium,lunch,14.0,18.035632758634563,4.035632758634563,4.035632758634563,10.0
478,2026-03-01 05:00:00+03:00,low,afternoon,1.0,5.031905911597606,4.031905911597606,4.031905911597606,1.0
434,2026-03-22 05:00:00+03:00,medium,afternoon,15.0,10.969375093468244,-4.030624906531756,4.030624906531756,10.0
26,2026-02-27 04:00:00+03:00,medium,lunch,13.0,17.02921820514508,4.0292182051450816,4.0292182051450816,10.0
434,2026-03-06 03:00:00+03:00,medium,morning,11.0,6.980284879332556,-4.019715120667444,4.019715120667444,10.0
54,2026-04-05 06:00:00+03:00,medium,dinner,12.0,7.982662341996563,-4.017337658003437,4.017337658003437,10.0
12,2026-02-12 04:00:00+03:00,high,lunch,26.0,21.989012407554206,-4.010987592445794,4.010987592445794,25.0
11,2026-01-29 00:00:00+03:00,medium,deep_night,17.0,12.989553688448497,-4.010446311551503,4.010446311551503,10.0
516,2026-04-11 03:00:00+03:00,low,morning,10.0,5.9898640082246075,-4.0101359917753925,4.0101359917753925,1.0
26,2026-03-08 04:00:00+03:00,medium,lunch,17.0,12.993167724603131,-4.006832275396869,4.006832275396869,10.0
26,2026-01-29 04:00:00+03:00,medium,lunch,13.0,17.00063019346345,4.000630193463451,4.000630193463451,10.0
