iter	Passed	Remaining
1280	36828	20671
1281	36851	20639
1282	36877	20609
1283	36904	20579
1284	36934	20551
1285	36960	20520
1286	36985	20489
1287	37012	20460
1288	37042	20432
1289	37063	20399
1290	37093	20371
1291	37118	20340
1292	37145	20310
1293	37174	20282
1294	37200	20251
1295	37224	20220
1296	37250	20190
1297	37277	20161
1298	37299	20128
1299	37325	20098
1300	37353	20069
1301	37376	20037
1302	37401	20006
1303	37420	19972
1304	37439	19939
1305	37464	19908
1306	37492	19879
1307	37514	19846
1308	37540	19817
1309	37566	19787
1310	37595	19758
1311	37622	19728
1312	37651	19700
1313	37674	19668
1314	37702	19639
1315	37729	19610
1316	37754	19579
1317	37785	19552
1318	37812	19522
1319	37838	19492
1320	37864	19462
1321	37891	19432
1322	37918	19403
1323	37942	19372
1324	37968	19342
1325	37994	19312
1326	38020	19282
1327	38045	19251
1328	38072	19222
1329	38097	19191
1330	38121	19161
1331	38148	19131
1332	38172	19100
1333	38199	19071
1334	38224	19040
1335	38248	19009
1336	38270	18977
1337	38296	18947
1338	38319	18916
1339	38343	18885
1340	38368	18855
1341	38390	18823
1342	38419	18794
1343	38445	18764
1344	38471	18735
1345	38499	18706
1346	38523	18675
1347	38539	18640
1348	38568	18612
1349	38589	18580
1350	38611	18548
1351	38634	18517
1352	38655	18485
1353	38683	18456
1354	38714	18428
1355	38740	18398
1356	38764	18368
1357	38789	18337
1358	38817	18309
1359	38843	18279
1360	38871	18250
1361	38894	18219
1362	38923	18191
1363	38951	18162
1364	38977	18132
1365	39004	18103
1366	39028	18072
1367	39056	18043
1368	39079	18012
1369	39106	17983
1370	39136	17955
1371	39160	17924
1372	39185	17894
1373	39208	17863
1374	39227	17830
1375	39255	17801
1376	39281	17772
1377	39307	17742
1378	39333	17712
1379	39351	17679
1380	39379	17650
1381	39405	17621
1382	39432	17592
1383	39458	17562
1384	39484	17532
1385	39511	17503
1386	39533	17472
1387	39559	17442
1388	39588	17414
1389	39613	17384
1390	39638	17354
1391	39664	17324
1392	39692	17296
1393	39718	17266
1394	39751	17239
1395	39785	17213
1396	39816	17186
1397	39843	17157
1398	39869	17127
1399	39897	17098
1400	39921	17068
1401	39947	17039
1402	39975	17010
1403	39998	16979
1404	40021	16948
1405	40048	16919
1406	40071	16888
1407	40097	16859
1408	40126	16831
1409	40155	16802
1410	40183	16774
1411	40206	16743
1412	40228	16712
1413	40257	16683
1414	40283	16654
1415	40307	16623
1416	40324	16590
1417	40349	16561
1418	40375	16531
1419	40403	16503
1420	40430	16473
1421	40456	16444
1422	40480	16414
1423	40508	16385
1424	40535	16356
1425	40561	16326
1426	40588	16297
1427	40617	16269
1428	40640	16239
1429	40669	16211
1430	40693	16180
1431	40718	16150
1432	40747	16122
1433	40773	16093
1434	40798	16063
1435	40821	16033
1436	40846	16003
1437	40874	15974
1438	40901	15945
1439	40927	15916
1440	40952	15886
1441	40976	15856
1442	41004	15827
1443	41026	15796
1444	41046	15765
1445	41067	15734
1446	41094	15704
1447	41119	15675
1448	41144	15645
1449	41169	15615
1450	41196	15587
1451	41216	15555
1452	41244	15527
1453	41272	15498
1454	41294	15467
1455	41320	15438
1456	41348	15410
1457	41374	15380
1458	41395	15349
1459	41419	15319
1460	41446	15290
1461	41471	15261
1462	41502	15233
1463	41525	15203
1464	41551	15174
1465	41576	15144
1466	41602	15115
1467	41626	15085
1468	41654	15057
1469	41679	15027
1470	41706	14998
1471	41730	14968
1472	41752	14937
1473	41778	14908
1474	41800	14877
1475	41828	14849
1476	41854	14820
1477	41883	14792
1478	41909	14763
1479	41939	14735
1480	41969	14707
1481	41995	14678
1482	42023	14650
1483	42050	14621
1484	42076	14592
1485	42101	14562
1486	42129	14534
1487	42154	14504
1488	42179	14475
1489	42206	14446
1490	42230	14416
1491	42260	14388
1492	42288	14360
1493	42315	14331
1494	42341	14302
1495	42366	14273
1496	42395	14245
1497	42423	14216
1498	42446	14186
1499	42474	14158
1500	42500	14129
1501	42525	14099
1502	42549	14070
1503	42574	14040
1504	42597	14010
1505	42621	13980
1506	42646	13951
1507	42664	13919
1508	42689	13890
1509	42711	13860
1510	42737	13830
1511	42760	13801
1512	42790	13773
1513	42815	13743
1514	42845	13716
1515	42872	13687
1516	42897	13658
1517	42923	13629
1518	42947	13599
1519	42972	13570
1520	43002	13542
1521	43032	13514
1522	43053	13484
1523	43078	13454
1524	43106	13426
1525	43135	13398
1526	43161	13369
1527	43187	13340
1528	43214	13312
1529	43239	13282
1530	43266	13253
1531	43288	13223
1532	43310	13193
1533	43335	13164
1534	43359	13135
1535	43386	13106
1536	43408	13076
1537	43437	13048
1538	43463	13019
1539	43487	12989
1540	43513	12960
1541	43539	12932
1542	43564	12902
1543	43588	12873
1544	43609	12842
1545	43630	12812
1546	43655	12783
